event_id,movie_1_title,movie_2_title,movie_1_rating,movie_2_rating,movie_1_ratings,movie_2_ratings,movie_1_genre,movie_2_genre,movie_1_release,movie_2_release
73,Wings of desire,The Sacrifice ,4.3,4.3,45379,20156,Romance/Drama,Drama,1987,1986
74,Network,Face in the Crowd,4.3,4.2,56258,8709,Drama,Drama,1976,1957
75,My Fathers Shadow,,4.1,,12030,,Drama,,2025,
76,Waves,Moonlight,4,4.2,203497,230087,Romance/Drama,Drama,2019,2016
77,Coffee and Cigarettes,Clerks,3.8,3.8,16696,39349,Comedy/Drama,Comedy,2003,1994
78,Pitch Perfect,,3.6,,280067,,Comedy,,2012,
79,Pink Floyd: The wall ,Amadeus,4.1,4.4,27829,96816,Drama/History,Drama/History,1982,1984
80,Manchester by the Sea,Pursuit of Happiness,4.1,4,205292,89141,Drama,Drama,2016,2006
81,Universal Language,Taste of Cherry,3.8,4.3,11961,52765,Comedy/Drama,Drama,2024,1997
82,Hot Fuzz,The Blue's Brothers,4.1,4,139534,47994,Comedy/Action,Comedy,2007,1980
83,Salut les Cubains,Strawberry and Chocolate,4,3.8,4757,1856,Documentry,Comedy/Drama,1963,1993
84,Dazed and Confused,The big Lebowski,3.9,4.1,157843,202389,Comedy/Drama,Comedy/Crime,1993,1998
85,All that’s left of you ,,4.2,,6793,,Drama,,2025,
