type,likes,num_comments,num_shares,days_from_event,revenue,total_transactions,collab,date,num_posts,memberships_sold,pop,popcorn_large,popcorn_medium,popcorn_small,Alcohol,general_promo_likes,general_promo_shares,type_post,candy,event_id,movie_1_title,movie_2_title,movie_1_rating,movie_2_rating,movie_1_review_count,movie_2_review_count,movie_1_genre,movie_2_genre,movie_1_release_year,movie_2_release_year,num_movies,double_feature,avg_movie_rating,max_movie_rating,total_review_count,max_review_count,avg_release_year,oldest_release_year,event_year,avg_movie_age,primary_genre,popularity_bucket,log_max_review_count,log_total_review_count,month,day_of_week,total_engagement,engagement_per_post
Special,114.0,6.0,43.0,2.0,91.64,17.0,Yes,2025-10-10,3,8.0,8.0,2.0,5.0,0.0,0.0,176.0,56.0,both,2.0,14,Lurker,,3.6,,35115.0,,Drama/Thriller,,2025.0,,1,0,3.6,3.6,35115.0,35115.0,2025.0,2025.0,2025,0.0,Drama,Medium,10.4664121460461,10.4664121460461,10,Friday,163.0,54.333333333333336
Regular screening,110.0,0.0,34.0,2.0,57.98,12.0,No,2025-10-16,2,6.0,5.0,0.0,3.0,1.0,0.0,68.0,15.0,both,1.0,15,Repulsion,May,3.9,3.6,19958.0,55841.0,Horror/Thriller,Comedy/Horror,1960.0,2002.0,2,1,3.75,3.9,75799.0,55841.0,1981.0,1960.0,2025,44.0,Horror,Medium,10.930281553413765,11.235853571630463,10,Thursday,144.0,72.0
Special,96.0,1.0,19.0,3.0,144.11,23.0,Yes,2025-10-17,2,17.0,4.0,3.0,5.0,3.0,0.0,68.0,15.0,both,0.0,16,Spark Animaiton,,,,,,,,,,1,0,,,,,,,2025,,,,,,10,Friday,116.0,58.0
Regular screening,67.0,0.0,26.0,2.0,102.83,19.0,No,2025-10-20,2,0.0,6.0,3.0,3.0,4.0,10.0,98.0,42.0,both,0.0,17,The Lair of the White Worm,The Devils,3.5,4.2,20179.0,25906.0,Comedy/Horror,Horror/Drama,1988.0,1971.0,2,1,3.85,4.2,46085.0,25906.0,1979.5,1971.0,2025,45.5,Comedy,Medium,10.162268481441469,10.738264495226737,10,Monday,93.0,46.5
Special,135.0,1.0,54.0,2.0,102.66,28.0,Yes,2025-10-21,2,2.0,13.0,9.0,5.0,6.0,0.0,98.0,42.0,both,0.0,18,The Adams Family,The Adams Family Values,3.8,3.8,72907.0,51366.0,Comedy,Comedy,1991.0,1993.0,2,1,3.8,3.8,124273.0,72907.0,1992.0,1991.0,2025,33.0,Comedy,High,11.196953651344824,11.730244084259809,10,Tuesday,190.0,95.0
Regular screening,83.0,0.0,22.0,2.0,162.62,34.0,No,2025-10-23,2,14.0,15.0,5.0,5.0,0.0,0.0,98.0,42.0,both,5.0,19,Re-Animator,Evil Dead 2,3.8,4.0,55488.0,117689.0,Comedy/Horror,Comedy/Horror,1985.0,1987.0,2,1,3.9,4.0,173177.0,117689.0,1986.0,1985.0,2025,39.0,Comedy,High,11.675809327871708,12.062075246257429,10,Thursday,105.0,52.5
Special,,,,,30.0,8.0,Yes,2025-10-24,1,0.0,15.0,0.0,0.0,0.0,0.0,98.0,42.0,group,0.0,20,The Day Iceland stood Still,,4.0,,678.0,,Documentary,,2023.0,,1,0,4.0,4.0,678.0,678.0,2023.0,2023.0,2025,2.0,Documentary,Low,6.520621127558696,6.520621127558696,10,Friday,,
Special w/UBC + Free Popcorn,263.0,3.0,239.0,6.0,19.83,8.0,Yes,2025-10-27,2,1.0,7.0,0.0,0.0,0.0,0.0,263.0,239.0,individual,0.0,21,Three…Extremes,Pulse,3.6,3.7,4385.0,51010.0,Horror,Horror,2004.0,2001.0,2,1,3.6500000000000004,3.7,55395.0,51010.0,2002.5,2001.0,2025,22.5,Horror,Medium,10.839796574724032,10.922262667962608,10,Monday,505.0,252.5
Special w/UBC + Free Popcorn,263.0,3.0,239.0,7.0,20.0,10.0,Yes,2025-10-28,2,0.0,10.0,0.0,0.0,0.0,0.0,263.0,239.0,individual,0.0,22,Hour of the Wolf,Let the Right One In,4.0,4.0,15763.0,33901.0,Horror/Drama,Horror/Drama,1968.0,2008.0,2,1,4.0,4.0,49664.0,33901.0,1988.0,1968.0,2025,37.0,Horror,Medium,10.431229288678432,10.813055738649457,10,Tuesday,505.0,252.5
Special w/UBC + Free Popcorn,263.0,3.0,239.0,8.0,6.0,2.0,Yes,2025-10-29,2,0.0,3.0,0.0,0.0,0.0,0.0,263.0,239.0,individual,0.0,23,Lunacy,Viy,3.7,3.6,546.0,15153.0,Comedy/Horror,Horror/Drama,2005.0,1967.0,2,1,3.6500000000000004,3.7,15699.0,15153.0,1986.0,1967.0,2025,39.0,Comedy,Medium,9.626019802491319,9.6614159913364,10,Wednesday,505.0,252.5
